,Country,Year,Agriculture,Mining,Manufacturing,Construction,Wholesale,Transport,Other,Total
0,xxx,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Spain,1970,15131363908.72,81840905938.316,67641298234.502,77771782399.507,88318455293.636,37956018858.842,131448054944.86,432466581343.88
1,Spain,1971,16733916690.261,86874016808.052,71801151858.744,76941583872.456,93527959613.391,40194872764.885,137521757723.64,451794107472.68
2,Spain,1972,16767378414.538,99647932420.072,82358759648.839,83998133214.264,101520127516.9,43629609209.603,144598219046.79,490161399822.17
3,Spain,1973,17387183962.229,110271087560.52,91138769843.635,91167677963.532,109496154209.26,47057415027.229,154087583824.5,529467102547.27
4,Spain,1974,18649010308.448,117116691328.05,96796646475.671,95243248236.389,115304198811.69,49553501558.28,163019716301.15,558886366544.02
5,Spain,1975,18615548584.171,116428938118.62,96228215319.527,91432070639.06,118766366529.14,51041396588.953,171036423785.98,567320744245.92
6,Spain,1976,19430709508.535,120435683032.32,99539781212.936,87884733173.997,122811043336.73,52779675866.95,178791103973.66,582132948892.18
7,Spain,1977,18598748299.676,126047645662.93,104178066326.65,86111340712.434,128004276351.09,55011536976.091,186732638009.74,600506186011.96
8,Spain,1978,19838359392.411,128558764653.93,106253469303.48,82073619758.25,132469665011.87,56930510298.384,190575016416.95,610445935531.8
9,Spain,1979,19028752281.75,128438645147.46,106154213915.04,79130213733.029,132906314150.62,57118338895.378,196193636986.26,612815901194.49
10,Spain,1980,20720582610.041,129595830909.31,107110671131.39,77771782399.507,132890236909.17,57111344299.909,200749909770.99,618839686898.92
11,Spain,1981,18557233546.26,128227573084.02,105979648696.57,77854664116.464,134562124463.24,57829506851.12,203397711855.79,620428813916.91
12,Spain,1982,18559871606.411,126787864862.5,104789916485.75,72838110088.762,135970189441.62,58435613292.59,213095577460.62,625687226752.51
13,Spain,1983,19605238085.479,128542886788.69,106240552362.61,73716380011.967,138525805360.8,59533038321.148,217070130406.23,636993478974.31
14,Spain,1984,20873312471.616,129743736680.62,107232266020.22,69541351679.293,138346171873.23,59454651757.746,227106658318.95,645065882781.45
15,Spain,1985,21052284100.582,131780245554.62,108916675664.51,71893811065.081,139748393460.45,60062371753.477,235040450449.09,659577556383.3
16,Spain,1986,20316265013.856,136011869371.96,112414019259.8,76562538155.713,140459024025.67,60361134080.681,251996666683.98,685707497331.85
17,Spain,1987,23316990254.16,144070404015.45,119070530456.59,82552952351.689,148567027107.96,63843268597.403,262369617761.07,724720260087.73
18,Spain,1988,25359127348.033,151500209692.87,125219581432.65,90375881298.414,154468516577.24,66405875002.36,275165620879.22,763275230798.12
19,Spain,1989,24162280615.109,157151694399.51,129885759408.83,101936499387.44,160730926621.22,69049963317.551,289975548465.02,803006912805.85
20,Spain,1990,25457846376.356,160602886599.57,132721231492.12,110163614840.14,164027860463.95,70479872195.366,303733779048.02,834465859523.4
21,Spain,1991,26409908794.766,163747566951.04,135369977239.95,112429877241.46,166674638930.23,71739348093.449,312288525033.64,853289865044.58
22,Spain,1992,26675797598.434,163209617954.85,134877212858.14,105544616779.42,167553009467.31,71830379264.267,316608531844.36,851421952908.65
23,Spain,1993,27429033506.443,157492033000.97,130100618298.45,98424248515.472,165515309917.18,71160021881.351,316698086242.18,836718733063.6
24,Spain,1994,26130690839.008,160431854368.1,132775847089.37,99464690330.134,172053231495.21,74433591491.327,318319878047.78,850833936571.56
25,Spain,1995,24529665354.612,165957006493.15,137001114605.68,105617552689.86,176229242576.0,74661779873.417,328323498285.35,875318745272.4
26,Spain,1996,29672405518.316,170739503204.75,140876380564.73,104841439958.49,176004090418.43,76333203537.232,335670080744.29,893260723381.51
27,Spain,1997,31666988749.462,179625066881.88,149489112803.87,106251952004.41,179704532349.26,79217800002.993,344439095069.27,920905435057.28
28,Spain,1998,32674875760.685,188368917142.19,157993242237.59,111421180657.24,184324124852.73,82056041612.783,356995963339.18,955841103364.82
